lea_id,lea_name,identified_student_percentage_isp,eligible_to_participate,near_eligible_to_participate,currently_participating_in_cep,participating_and_eligible_for_a_grace_year,total_number_of_schools_in_participating_eligible_and_near_eligible_le_as,total_student_enrollment_in_participating_and_eligible_le_as,total_number_of_cep_schools_in_the_lea,total_student_enrollment_at_cep_schools,currently_participating_in_cep_district_wide,currently_participating_in_cep_in_one_or_some_schools_not_district_wide,year,participation_type
491,Mooresville Graded School District,18.5,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
500,Jackson County Schools,32.35,NA,X,X,NA,10,3700,4,788,NA,S,2019,Some Schools
510,Johnston County Schools,29.4,NA,NA,X,NA,46,36896,4,2350,NA,S,2019,Some Schools
520,Jones County Schools,68.55,X,NA,X,NA,6,1078,6,1078,A,NA,2019,District Wide
530,Lee County Schools,53.18,X,NA,NA,NA,16,10097,NA,NA,NA,NA,2019,Not Participating
540,Lenoir County Public Schools,71.58,X,NA,X,NA,17,8657,17,8657,A,NA,2019,District Wide
550,Lincoln County Schools,27.28,NA,NA,X,NA,23,11539,2,735,NA,S,2019,Some Schools
560,Macon County Schools,29.45,NA,NA,X,NA,11,4440,2,469,NA,S,2019,Some Schools
570,Madison County Schools,31.91,NA,X,X,NA,6,2209,1,131,NA,S,2019,Some Schools
580,Martin County Schools,46.63,X,NA,X,NA,9,3043,8,2813,NA,S,2019,Some Schools
590,McDowell County Schools,41.69,X,NA,NA,NA,14,6373,NA,NA,NA,NA,2019,Not Participating
600,Charlotte-Mecklenburg Schools,30.39,NA,X,X,NA,175,151264,83,59317,NA,S,2019,Some Schools
610,Mitchell County Schools,32.35,NA,X,NA,NA,7,1833,NA,NA,NA,NA,2019,Not Participating
620,Montgomery County Schools,41.05,X,NA,NA,NA,12,3939,NA,NA,NA,NA,2019,Not Participating
630,Moore County Schools,32.8,NA,X,NA,NA,23,12773,NA,NA,NA,NA,2019,Not Participating
640,Nash-Rocky Mount Schools,44.56,X,NA,X,NA,29,15152,17,7664,NA,S,2019,Some Schools
650,New Hanover County Schools,45.9,X,NA,X,NA,45,26413,21,8184,NA,S,2019,Some Schools
660,Northampton County Schools,63.27,X,NA,X,NA,7,1631,7,1631,A,NA,2019,District Wide
670,Onslow County Schools,44.28,X,NA,NA,NA,37,26764,NA,NA,NA,NA,2019,Not Participating
680,Orange County Schools,25.17,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
681,Chapel Hill-Carrboro Schools,26.08,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
690,Pamlico County Schools,55.68,X,NA,X,NA,4,1336,3,906,NA,S,2019,Some Schools
700,Pasquotank County Schools,44.51,X,NA,X,NA,13,5520,5,1686,NA,S,2019,Some Schools
710,Pender County Schools,53.44,X,NA,NA,NA,18,9517,NA,NA,NA,NA,2019,Not Participating
720,Perquimans County Schools,41.47,X,NA,NA,NA,4,1637,NA,NA,NA,NA,2019,Not Participating
730,Person County Schools,43.69,X,NA,X,NA,12,4527,8,2368,NA,S,2019,Some Schools
740,Pitt County Schools,49.52,X,NA,X,NA,39,24086,18,7899,NA,S,2019,Some Schools
750,Polk County Schools,36.04,NA,X,X,NA,7,2236,4,1080,NA,S,2019,Some Schools
760,Randolph County Schools,33.58,NA,X,X,NA,31,16096,1,390,NA,S,2019,Some Schools
761,Asheboro City Schools,48.4,X,NA,NA,NA,8,4485,NA,NA,NA,NA,2019,Not Participating
770,Richmond County Schools,74.51,X,NA,X,NA,15,7335,15,7335,A,NA,2019,District Wide
780,Robeson County Schools,43.8,X,NA,X,NA,40,23701,39,23440,NA,S,2019,Some Schools
790,Rockingham County Schools,40.21,X,NA,X,NA,23,12082,7,2926,NA,S,2019,Some Schools
800,Rowan-Salisbury Schools,36.74,NA,X,X,NA,36,18646,12,5364,NA,S,2019,Some Schools
810,Rutherford County Schools,45.31,X,NA,X,NA,19,8068,19,8068,A,NA,2019,District Wide
820,Sampson County Schools,63.46,X,NA,X,NA,18,8111,18,8111,A,NA,2019,District Wide
821,Clinton City Schools,66.68,X,NA,X,NA,5,3032,5,3032,A,NA,2019,District Wide
830,Scotland County Schools,75.61,X,NA,X,NA,11,5720,11,5720,A,NA,2019,District Wide
840,Stanly County Schools,33.96,NA,X,X,NA,21,8305,4,1304,NA,S,2019,Some Schools
850,Stokes County Schools,29.61,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
860,Surry County Schools,35.85,NA,X,X,NA,19,7718,1,235,NA,S,2019,Some Schools
861,Elkin City Schools,21.01,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
862,Mount Airy City Schools,40.11,X,NA,NA,NA,4,1670,NA,NA,NA,NA,2019,Not Participating
870,Swain County Schools,34.37,NA,X,X,NA,4,1943,1,443,NA,S,2019,Some Schools
880,Transylvania County Schools,36.22,NA,X,NA,NA,9,3390,NA,NA,NA,NA,2019,Not Participating
890,Tyrrell County Schools,38.94,NA,X,X,NA,3,665,3,665,A,NA,2019,District Wide
900,Union County Public Schools,17.74,NA,NA,X,NA,53,41884,8,4155,NA,S,2019,Some Schools
910,Vance County Schools,64.85,X,NA,X,NA,15,5819,15,5819,A,NA,2019,District Wide
920,Wake County Schools,17.63,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
930,Warren County Schools,55.11,X,NA,X,NA,8,1985,8,1985,A,NA,2019,District Wide
940,Washington County Schools,64.08,X,NA,X,NA,5,1356,6,1356,NA,S,2019,Some Schools
950,Watauga County Schools,18.43,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
960,Wayne County Public Schools,62.18,X,NA,X,NA,33,18266,26,14051,NA,S,2019,Some Schools
970,Wilkes County Schools,36.05,NA,X,X,NA,22,9327,17,6593,NA,S,2019,Some Schools
980,Wilson County Schools,42.49,X,NA,X,NA,26,11186,16,5574,NA,S,2019,Some Schools
990,Yadkin County Schools,33.34,NA,X,NA,NA,14,5287,NA,NA,NA,NA,2019,Not Participating
995,Yancey County Schools,33.48,NA,X,NA,NA,8,2135,NA,NA,NA,NA,2019,Not Participating
1002,Camp Lejeune Schools,10.87,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
1007,Fort Bragg,10.24,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
1009,Cherokee Central School,10.73,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
1026,NC Tarheel Challenge Academy,27.27,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
1095,Trinity Christian School,73.21,X,NA,X,NA,1,336,1,336,A,NA,2019,District Wide
06B,Marjorie Williams Academy,81.88,X,NA,X,NA,1,127,1,127,A,NA,2019,District Wide
13B,Cabarrus Charter Academy,17.02,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
13C,A.C.E. Academy,28.45,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
13D,Concord Lake STEAM Academy,10.76,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2019,Not Participating
20A,The Learning Center,43.09,X,NA,X,NA,1,181,1,181,A,NA,2019,District Wide
