LEA ID,LEA name,Identified Student Percentage (ISP),Eligible to Participate,Near Eligible to Participate,Currently Participating in CEP,Participating and Eligible for a Grace Year,"Total Number of Schools in Participating, Eligible, and Near-Eligible LEAs",Total Student Enrollment in Participating and Eligible LEAs,Total Number of CEP Schools in the LEA,Total Student Enrollment at CEP Schools,Currently Participating in CEP District-wide,Currently Participating in CEP in One or Some Schools (Not District-wide),Comments,
761,Asheboro City Schools,63.15%,X, ,X, ,8,4399,8,4399,A,,,
770,Richmond County Schools,73.05%,X, ,X, ,15,6615,15,6615,A,,,
780,Robeson County Schools,78.21%,X, ,X, ,36,21110,35,20863,,S,,
78A,CIS Academy,64.55%,X, , , ,1,110,,,,,,
78C,Old Main STREAM Academy,67.06%,X, , , ,1,337,,,,,,
790,Rockingham County Schools,59.22%,X, ,X, ,23,11397,23,11397,A,,,
800,Rowan-Salisbury Schools,56.45%,X, ,X, ,31,17816,31,17816,A,,,
810,Rutherford County Schools,65.88%,X, ,X, ,19,7439,19,7439,A,,,
820,Sampson County Schools,68.61%,X, ,X, ,18,8050,18,8050,A,,,
821,Clinton City Schools,67.84%,X, ,X, ,5,2994,5,2994,A,,,
830,Scotland County Schools,75.85%,X, ,X, ,10,5504,10,5504,A,,,
840,Stanly County Schools,50.91%,X, ,X, ,22,8523,14,5036,,S,,
850,Stokes County Schools,51.59%,X, , , ,19,5524,,,,,,
860,Surry County Schools,59.91%,X, ,X, ,19,7229,15,4887,,S,,
861,Elkin City Schools,39.31%,X, , , ,4,1295,,,,,,
862,Mount Airy City Schools,53.51%,X, ,X, ,4,1779,4,1779,A,,,
870,Swain County Schools,58.78%,X, ,X, ,4,1754,4,1754,A,,,
880,Transylvania County Schools,52.73%,X, ,X, ,9,3294,9,3294,A,,,
890,Tyrrell County Schools,62.92%,X, ,X, ,3,472,3,472,A,,,
900,Union County Public Schools,26.67%,X, ,X, ,53,42219,17,8380,,S,,
90C,Union Preparatory Academy,36.60%,X, , , ,1,1153,,,,,,
910,Vance County Schools,80.06%,X, ,X, ,15,5365,15,5365,A,,,
91B,Henderson Collegiate,80.75%,X, ,X, ,1,1257,1,1257,A,,,
